,time,imnum,dur,weight,imcode,path,corrAns,axis,button_left,button_right,viewPoint,imgPath
0,6,0,1,1,A,,1,bedChair,Bed,Chair,24,./carchair_exp/bedChair_1_24.png
1,12,2,1,1,C,,1,tableBench,Table,Bench,15,./carchair_exp/tableBench_1_15.png
2,16,0,1,1,A,,1,bedChair,Bed,Chair,21,./carchair_exp/bedChair_1_21.png
3,20,1,1,1,B,,100,bedChair,Bed,Chair,9,./carchair_exp/bedChair_100_9.png
4,26,2,1,1,C,,1,tableBench,Table,Bench,6,./carchair_exp/tableBench_1_6.png
5,30,3,1,1,D,,100,tableBench,Table,Bench,6,./carchair_exp/tableBench_100_6.png
6,36,0,1,1,A,,1,bedChair,Bed,Chair,27,./carchair_exp/bedChair_1_27.png
7,40,1,1,1,B,,100,bedChair,Bed,Chair,21,./carchair_exp/bedChair_100_21.png
8,46,3,1,1,D,,100,tableBench,Table,Bench,18,./carchair_exp/tableBench_100_18.png
9,54,2,1,1,C,,1,tableBench,Table,Bench,33,./carchair_exp/tableBench_1_33.png
10,60,1,1,1,B,,100,bedChair,Bed,Chair,6,./carchair_exp/bedChair_100_6.png
11,64,3,1,1,D,,100,tableBench,Table,Bench,15,./carchair_exp/tableBench_100_15.png
12,70,0,1,1,A,,1,bedChair,Bed,Chair,3,./carchair_exp/bedChair_1_3.png
13,74,3,1,1,D,,100,tableBench,Table,Bench,39,./carchair_exp/tableBench_100_39.png
14,80,2,1,1,C,,1,tableBench,Table,Bench,27,./carchair_exp/tableBench_1_27.png
15,84,1,1,1,B,,100,bedChair,Bed,Chair,3,./carchair_exp/bedChair_100_3.png
16,92,0,1,1,A,,1,bedChair,Bed,Chair,9,./carchair_exp/bedChair_1_9.png
17,100,1,1,1,B,,100,bedChair,Bed,Chair,33,./carchair_exp/bedChair_100_33.png
18,104,0,1,1,A,,1,bedChair,Bed,Chair,36,./carchair_exp/bedChair_1_36.png
19,108,2,1,1,C,,1,tableBench,Table,Bench,18,./carchair_exp/tableBench_1_18.png
20,114,3,1,1,D,,100,tableBench,Table,Bench,36,./carchair_exp/tableBench_100_36.png
21,120,2,1,1,C,,1,tableBench,Table,Bench,12,./carchair_exp/tableBench_1_12.png
22,128,1,1,1,B,,100,bedChair,Bed,Chair,27,./carchair_exp/bedChair_100_27.png
23,134,3,1,1,D,,100,tableBench,Table,Bench,3,./carchair_exp/tableBench_100_3.png
24,138,0,1,1,A,,1,bedChair,Bed,Chair,30,./carchair_exp/bedChair_1_30.png
25,144,1,1,1,B,,100,bedChair,Bed,Chair,39,./carchair_exp/bedChair_100_39.png
26,152,0,1,1,A,,1,bedChair,Bed,Chair,18,./carchair_exp/bedChair_1_18.png
27,160,2,1,1,C,,1,tableBench,Table,Bench,30,./carchair_exp/tableBench_1_30.png
28,164,1,1,1,B,,100,bedChair,Bed,Chair,12,./carchair_exp/bedChair_100_12.png
29,170,2,1,1,C,,1,tableBench,Table,Bench,21,./carchair_exp/tableBench_1_21.png
30,176,3,1,1,D,,100,tableBench,Table,Bench,33,./carchair_exp/tableBench_100_33.png
31,180,2,1,1,C,,1,tableBench,Table,Bench,24,./carchair_exp/tableBench_1_24.png
32,184,3,1,1,D,,100,tableBench,Table,Bench,9,./carchair_exp/tableBench_100_9.png
33,190,1,1,1,B,,100,bedChair,Bed,Chair,30,./carchair_exp/bedChair_100_30.png
34,194,3,1,1,D,,100,tableBench,Table,Bench,12,./carchair_exp/tableBench_100_12.png
35,198,0,1,1,A,,1,bedChair,Bed,Chair,33,./carchair_exp/bedChair_1_33.png
36,206,3,1,1,D,,100,tableBench,Table,Bench,21,./carchair_exp/tableBench_100_21.png
37,212,0,1,1,A,,1,bedChair,Bed,Chair,12,./carchair_exp/bedChair_1_12.png
38,218,2,1,1,C,,1,tableBench,Table,Bench,36,./carchair_exp/tableBench_1_36.png
39,222,3,1,1,D,,100,tableBench,Table,Bench,30,./carchair_exp/tableBench_100_30.png
40,226,0,1,1,A,,1,bedChair,Bed,Chair,6,./carchair_exp/bedChair_1_6.png
41,230,2,1,1,C,,1,tableBench,Table,Bench,3,./carchair_exp/tableBench_1_3.png
42,236,1,1,1,B,,100,bedChair,Bed,Chair,15,./carchair_exp/bedChair_100_15.png
43,242,3,1,1,D,,100,tableBench,Table,Bench,27,./carchair_exp/tableBench_100_27.png
44,250,1,1,1,B,,100,bedChair,Bed,Chair,24,./carchair_exp/bedChair_100_24.png
45,256,2,1,1,C,,1,tableBench,Table,Bench,39,./carchair_exp/tableBench_1_39.png
46,260,0,1,1,A,,1,bedChair,Bed,Chair,15,./carchair_exp/bedChair_1_15.png
47,268,1,1,1,B,,100,bedChair,Bed,Chair,18,./carchair_exp/bedChair_100_18.png
