sub,session,run,threshold,successful_trials,perfect_trials,monetaryReward10cent,monetaryReward5cent,monetaryReward0cent,monetaryReward0cents
sub004,2,1,0.6,9,7,7,2,,4
sub004,2,2,0.6,9,3,3,6,,6
sub004,2,3,0.6,8,6,6,2,,6
sub004,2,4,0.6,10,3,3,7,,9
sub004,2,5,0.6,6,0,0,6,,13
sub004,2,6,0.6,10,4,4,6,,7
sub004,2,7,0.6,5,2,2,3,,11
sub004,2,8,0.6,7,1,1,6,,9
sub004,2,9,0.6,7,1,1,6,,8
sub004,2,10,0.6,7,4,4,3,,6
sub004,2,11,0.6,8,2,2,6,,8
sub004,2,12,0.6,5,1,1,4,,10
sub004,3,1,0.6,8,4,4,4,,5
sub004,3,2,0.6,3,1,1,2,,11
sub004,3,3,0.6,8,4,4,4,,7
sub004,3,4,0.6,6,2,2,4,,8
sub004,3,5,0.6,7,3,3,4,,9
sub004,3,6,0.6,6,2,2,4,,8
sub004,3,7,0.6,1,1,1,0,,11
sub004,3,8,0.55,8,0,0,8,,11
sub004,3,9,0.55,6,5,5,1,,8
sub004,3,10,0.6,9,7,7,2,,3
sub004,3,11,0.6,11,4,4,7,,4
sub004,3,12,0.65,4,1,1,3,,10
