,Sub,Run,TR,Onset,Item,Resp,RT,image_on,button_on,button_off,Trial_ID,stim,switchButtonOrientation
0,sub004,8,3,0,,,,,,,,blank,0.0
1,sub004,8,4,2,,,,,,,,blank,0.0
2,sub004,8,5,4,,,,,,,,blank,0.0
3,sub004,8,6,6,C,1,0.4666874480317347,12.005147589021362,13.022037271002773,13.921905002032872,0,stim,0.0
4,sub004,8,7,8,,,,,,,,blank,0.0
5,sub004,8,8,10,A,2,0.4333448850084096,16.00518112501595,17.021941954037175,17.92194286303129,1,stim,1.0
6,sub004,8,9,12,,,,,,,,blank,1.0
7,sub004,8,10,14,,,,,,,,blank,1.0
8,sub004,8,11,16,D,2,0.6177577950293198,22.006567878008354,23.026625073049217,23.909817603998818,2,stim,0.0
9,sub004,8,12,18,,,,,,,,blank,0.0
10,sub004,8,13,20,,,,,,,,blank,0.0
11,sub004,8,14,22,,,,,,,,blank,0.0
12,sub004,8,15,24,A,2,0.48326546896714717,30.00770569703309,31.026525914028753,31.926337430020794,3,stim,1.0
13,sub004,8,16,26,,,,,,,,blank,1.0
14,sub004,8,17,28,,,,,,,,blank,1.0
15,sub004,8,18,30,,,,,,,,blank,1.0
16,sub004,8,19,32,B,1,0.43328883103094995,38.00779974501347,39.02738817804493,39.9269261030131,4,stim,1.0
17,sub004,8,20,34,,,,,,,,blank,1.0
18,sub004,8,21,36,C,2,0.4167520559858531,42.00770791602554,43.02683020103723,43.92638128600083,5,stim,1.0
19,sub004,8,22,38,,,,,,,,blank,1.0
20,sub004,8,23,40,B,2,0.45005352701991796,46.00774442299735,47.026653167034965,47.92641617701156,6,stim,0.0
21,sub004,8,24,42,,,,,,,,blank,0.0
22,sub004,8,25,44,,,,,,,,blank,0.0
23,sub004,8,26,46,,,,,,,,blank,0.0
24,sub004,8,27,48,D,1,0.5334029849618673,54.007795678044204,55.0267155750189,55.92649291100679,7,stim,1.0
25,sub004,8,28,50,,,,,,,,blank,1.0
26,sub004,8,29,52,B,1,0.5667385290144011,58.007828509027604,59.026965744036715,59.92650692304596,8,stim,1.0
27,sub004,8,30,54,,,,,,,,blank,1.0
28,sub004,8,31,56,C,1,0.5333879539975896,62.00788089004345,63.02681209804723,63.92648533103056,9,stim,0.0
29,sub004,8,32,58,,,,,,,,blank,0.0
30,sub004,8,33,60,D,2,0.4999457339872606,66.00793043302838,67.02703013404971,67.92653809604235,10,stim,0.0
31,sub004,8,34,62,,,,,,,,blank,0.0
32,sub004,8,35,64,A,1,0.4499897040077485,70.00797676801449,71.02706673700595,71.92711698199855,11,stim,0.0
33,sub004,8,36,66,,,,,,,,blank,0.0
34,sub004,8,37,68,,,,,,,,blank,0.0
35,sub004,8,38,70,,,,,,,,blank,0.0
36,sub004,8,39,72,C,2,0.4166625760262832,78.00796540500596,79.02690385200549,79.92719390400453,12,stim,1.0
37,sub004,8,40,74,,,,,,,,blank,1.0
38,sub004,8,41,76,,,,,,,,blank,1.0
39,sub004,8,42,78,B,1,0.4832775910035707,84.00816641602432,85.02768057503272,85.92724417103454,13,stim,1.0
40,sub004,8,43,80,,,,,,,,blank,1.0
41,sub004,8,44,82,C,2,0.499900080030784,88.00812659400981,89.02792643901194,89.92672498704633,14,stim,1.0
42,sub004,8,45,84,,,,,,,,blank,1.0
43,sub004,8,46,86,B,1,0.4833193540107459,92.00811851699837,93.02722743502818,93.92667979805265,15,stim,1.0
44,sub004,8,47,88,,,,,,,,blank,1.0
45,sub004,8,48,90,,,,,,,,blank,1.0
46,sub004,8,49,92,D,2,0.4667699899873696,98.00806955603184,99.02703825599747,99.92731663800078,16,stim,0.0
47,sub004,8,50,94,,,,,,,,blank,0.0
48,sub004,8,51,96,,,,,,,,blank,0.0
49,sub004,8,52,98,A,2,0.49996673298301175,104.0082281990326,105.02701774303569,105.9267699070042,17,stim,1.0
50,sub004,8,53,100,,,,,,,,blank,1.0
51,sub004,8,54,102,,,,,,,,blank,1.0
52,sub004,8,55,104,C,2,0.550061698013451,110.00820449303137,111.02710492204642,111.92686807102291,18,stim,1.0
53,sub004,8,56,106,,,,,,,,blank,1.0
54,sub004,8,57,108,,,,,,,,blank,1.0
55,sub004,8,58,110,D,1,0.5000213770545088,116.00826989900088,117.02710233803373,117.92691282404121,19,stim,1.0
56,sub004,8,59,112,,,,,,,,blank,1.0
57,sub004,8,60,114,A,,,120.00830040604342,121.0274094720371,121.926874574041,20,stim,0.0
58,sub004,8,61,116,,,,,,,,blank,0.0
59,sub004,8,62,118,,,,,,,,blank,0.0
60,sub004,8,63,120,,,,,,,,blank,0.0
61,sub004,8,64,122,B,2,0.5332608390017413,128.00835673400434,129.0271685900516,129.9269250840298,21,stim,0.0
62,sub004,8,65,124,,,,,,,,blank,0.0
63,sub004,8,66,126,,,,,,,,blank,0.0
64,sub004,8,67,128,D,2,0.43327388097532094,134.0084340100293,135.02725454804022,135.92703004705254,22,stim,0.0
65,sub004,8,68,130,,,,,,,,blank,0.0
66,sub004,8,69,132,,,,,,,,blank,0.0
67,sub004,8,70,134,,,,,,,,blank,0.0
