sub,session,run,threshold,successful_trials,perfect_trials,monetaryReward10cent,monetaryReward5cent,monetaryReward0cents
sub005,2,1,0.6,1.0,0.0,0.0,1.0,13.0
sub005,2,2,0.5499999999999999,1.0,0.0,0.0,1.0,13.0
sub005,2,3,0.4999999999999999,3.0,1.0,1.0,2.0,11.0
sub005,2,4,0.4499999999999999,3.0,0.0,0.0,3.0,12.0
sub005,2,5,0.4,0.0,0.0,0.0,0.0,13.0
sub005,2,6,0.4,2.0,0.0,0.0,2.0,13.0
sub005,2,7,0.4,7.0,0.0,0.0,7.0,12.0
sub005,2,8,0.4,7.0,0.0,0.0,7.0,10.0
sub005,2,9,0.4,7.0,1.0,1.0,6.0,10.0
sub005,2,10,0.4,7.0,0.0,0.0,7.0,9.0
sub005,2,11,0.4,8.0,0.0,0.0,8.0,9.0
sub005,2,12,0.45,5.0,0.0,0.0,5.0,10.0
